Hotel Name,Address,Area,City,District,State,Pincode,Latitude,Longitude
Eco House Boat,"Kandathil House,Punnamada",CHEMPANTHARA,Alappuzha,ALAPPUZHA,Kerala,688006,9.529382258340647,76.35458115338069
Rithu's Inn," 3/6/7, NILAVOOR RD",CHELLA THOPPU,Yelagiri,TIRUPATHUR,Tamil Nadu,635853,12.58070559051198,78.65034250674653
Lush Garden Resort 5,Panchayat road,THIRUVIDANTHAI,Chennai,KANCHIPURAM,Tamil Nadu,603112,12.775544246047946,80.24455687054541
Boutique Villa,"Boutique Villa, Padavattaman Kovil Street",KOVALAM,Chennai,CHENNAI,Tamil Nadu,603112,12.788483410745368,80.2497907288359
Broholic hotel,"NY Enclave, Survey No.91,Plot No 21",GACHIBOWLI,Hyderabad,HYDERABAD,Telangana,500032,17.430290130131922,78.37127199917488
King Castle,"2/212, Dargah Rd",KOVALAM,Chennai,CHENGALPATTU,Tamil Nadu,522006,12.786141008956392,80.24791716474475
Grand Continent Hotel,"No.18 & 19, 1st Cross",MALLESHWARAM,Bangalore,BENGALURU,Karnataka,560003,12.99438067131022,77.57246247116464
Country club Lee Crysstal,"2/212, Kovalam Dargah Main Road",KOVALAM,Chennai,CHENNAI,Tamil Nadu,603112,12.786558129169931,80.24821199722932
Grand Continent Hotels,"Gate No.15, Down Town Park,Sadahalli Road",SADAHALLI,Bangalore,BENGALURU,Karnataka,562157,13.191866911628045,77.64570505767068
Grand Continent Hotel,Shalivahana Road,NAZARBAD,Mysuru,MYSURU,Karnataka,570010,12.30910219619428,76.6636601
Le Grace Residency,"12, East",PANDIAN NAGAR,Madurai,MADURAI,Tamil Nadu,625020,9.934509848574507,78.1670251737282
Green Grande Inn,"21/113 Periyar Pathai,Jawaharlal Nehru Salai",CHOOLAIMEDU,Chennai,CHENNAI,Tamil Nadu,600094,13.058721999999362,80.21177340000189
Micro 1 Villa,"Micro villas, Nemmeli",VADANEMMELI,Chennai,CHENNAI,Tamil Nadu,603104,12.714832547740697,80.2204502711641
Lake View Resort,Q63Q+MQH,KOVALAM,Chennai,CHENNAI,Tamil Nadu,603112,12.754223881238515,80.23932739235342
Hill Grove By Brown Tree Resorts,"205, Thiyagai Boomi",THEETUKAL,Ooty,NILGIRIS (OOTY),Tamil Nadu,643006,11.40152903753466,76.66569513178175
Hotel Apple grand,"09,312, 4th St Ext",GANDHIPURAM,Coimbatore,COIMBATORE,Tamil Nadu,641012,11.021663981978955,76.96752309578946
Issacs Hotel Regency,"Opp to Aiswarya Theatre, Sulthan Bathery",SULTHAN BATHERY,Wayanad,WAYANAD,Kerala,673592,11.66247337346177,76.25633961425449
Micro 2 Villa,"Micro villas, Nemmeli",VADANEMMELI,Chennai,CHENNAI,Tamil Nadu,603104,12.714655655387586,80.22047359314713
Lavish Homestay 2,"Lavish Stay 2, No.61,Bharathi Nagar",KOTTAKUPPAM,Pondicherry,PUDUCHERRY,Puducherry,605104,11.968360166352372,79.84019483437004
Moon Shine Cottage,"No:29, Heaven Hills Campus",WOOD COCK ROAD,Ooty,NILGIRIS (OOTY),Tamil Nadu,643001,11.409411688771394,76.68662762516375
Foxoso Aaristo Baga Beach Resort,"7/36, Tito's Ln",CALANGUTE,North Goa,GOA,Goa,403516,15.557239726360141,73.75205177116365
MMR Grand Inn,"202 - C, Patna House Rd",FERN HILL,Ooty,NILGIRIS (OOTY),Tamil Nadu,643001,11.398773993086305,76.698254776535
Bamboo Hideout Villa,"No. 120, Plot No : 165, Seekinankuppam post",CHEYYUR,Chennai,CHENNAI,Tamil Nadu,603305,12.368511737675776,80.07863099971797
Sukh Palace,109 dk annexe,GEHUN KHEDA,Bhopal,BHOPAL,Madhya Pradesh,462042,23.17727272723277,77.4195771
Aayu Homes ,"H.No 484/11,Flat B3G1,Aldeia Portuguesa Residence",VAGATOR,North Goa,GOA,Goa,403509,15.59953305880382,73.74172943532737
Le Grace Residency (Park Town),"Park Town, Thabaal Thanthi Nagar",BAMA NAGAR,Madurai,MADURAI,Tamil Nadu,625017,9.965751113764403,78.12652400651852
GT Empire Hotel,"No 3/81, Valluvar Salai, Ramapuram",NESAPAKKAM,Chennai,CHENNAI,Tamil Nadu,600089,13.03662189400255," 80.1837527"
CS Holiday Villa,"(1D), 20/2",ST MARY'S ROAD,Kodaikanal,DINDIGUL,Tamil Nadu,624101,10.22411097747013,77.48553665119388
Bhyrava Cottage,"192/B, Westbury Road",MYSORE ROAD,Ooty,NILGIRIS (OOTY),Tamil Nadu,643001,11.413154663222805,76.69599233189705
J J Residency,"445,BEML 7th stage, Global Village Rd,",MYLASANDRA,Bangalore,BENGALURU,Karnataka,560059,12.945508431139778,77.59665012918875
Nirupama Hotel Aluva,"Janatha Road, PWD quarters",PERIYAR NAGAR,Aluva,ERNAKULAM,Kerala,683101,10.105547295127952,76.36045802269877
La French Villa,"No1 , signature grand ",KOTAKUPPAM,Pondicherry,PUDUCHERRY,Puducherry,605104,11.968703172925554,79.83165824576407
Hotel D Grand,"5th Floor, Reliance Smart Building",KALAVASAL,Madurai,MADURAI,Tamil Nadu,625016,9.929301906123937,78.09551054233039
Hotel City Plaza,"78/4,Old No 12/6 Dr MH Marigowda Road",MADIWALA,Bangalore,BENGALURU,Karnataka,560068,12.923898355269362,77.61822828465661
A Frame House,"Ocean Country, Plot no.4",VADAPATTINAM,Chennai,CHENNAI,Tamil Nadu,603305,12.415677967679013,80.11968011321302
Le Grace Residency,Thondi Rd,MARUTHUPANDIAR NAGAR,Sivaganga,Sivaganga,Tamil Nadu,630561,9.851594344219668,78.49990672294744
R2 Rooms,"NO:1, 151, Post Office Street",THORAIPAKKAM,Chennai,CHENNAI,Tamil Nadu,600097,12.949526850058268,80.23975439223456
Santorini Sunset Villa,"House,No 7, Azure Aquamarine, SH 49",KRISHNANKARANAI,Chennai,CHENNAI,Tamil Nadu,603104,12.69039034745597,80.21939147484511
Peaceful Studios Guest house,"Old Arady, 1411/248",CANDOLIM,Goa,GOA,Goa,403515,15.523020430926492,73.77403747301709
Reddy Salt & Sand Villa,"Pearl Beach, Plot No 20, Ansari Nagar",KOVALAM,Chennai,CHENNAI,Tamil Nadu,603112,12.78648033743224,80.25338089571142
Hotel Shivaals Residency,"#793/1,17th E Main,59th cross,5th Block",RAJAJINAGAR,Bangalore,BENGALURU,Karnataka,560010,12.985898435117317,77.5522898
White Villa,"Ecr, Temple tree, Krishnan karanai",PATTIPULAM,Chennai,CHENGALPATTU,Tamil Nadu,603104,12.690504540865161,80.21981197366334
Hotel Vijay Park,"No-34/1 - A, Polur Road ",MATHALANGULAM,Tiruvannamalai,TIRUVANNAMALAI,Tamil Nadu,606601,12.244909727131972,79.0727785134903
Lavish Homestay 3,"Lavish Stay 3, No.61, Bharathi Nagar",KOTTAKUPPAM,Pondicherry,PUDUCHERRY,Puducherry,605104,11.968360166352372,79.84019483437004
French Beach Villa,"French Beach Villas, Pillayar Koil Street",NEMMELI,Chennai,CHENNAI,Tamil Nadu,603104,12.729708072745671,80.23649862367122
Hotel Radhakrishna,"18, Dhanappa Mudali Street",MADURAI MAIN,Madurai,MADURAI,Tamil Nadu,625001,9.920584504681015,78.11617939737297
Appas Residency,42/C2,AMBALAVAYAL,Wayanad,WAYANAD,Kerala,673593,11.618203460227557,76.21199553964699
De Avalon,"Naika Vaddo, , Calangute, Goa ",CALANGUTE,Goa,GOA,Goa,403516,15.53779259728669,73.76773441349147
Le Grace Residency,"570, Anna Salai, Thiru Vi Ka Kudiyiruppu",TEYNAMPET,Chennai,Chennai,Tamil Nadu,600018,13.056761844239736,80.24815490325385
Hotel Royal Comfort,"1, 2nd Main Road",GANDHI NAGAR,Bangalore,BENGALURU,Karnataka,560009,12.97821736816244,77.57966531349095
